state_name,year,access,mtbs_class,area_km2
Arizona,1990,wilderness,2,0.7839
Arizona,1990,wilderness,3,0.9558
Arizona,1990,wilderness,4,0.7748999999999999
Arizona,1990,wilderness,5,0.0189
Arizona,1990,wilderness,6,0.0
Arizona,1991,roaded,0,0.0
Arizona,1991,roaded,1,0.0
Arizona,1991,roaded,2,0.0
Arizona,1991,roaded,3,0.0
Arizona,1991,roaded,4,0.0
Arizona,1991,roaded,5,0.0
Arizona,1991,roaded,6,0.0
Arizona,1991,roadless,0,0.0009
Arizona,1991,roadless,1,0.0
Arizona,1991,roadless,2,0.0
Arizona,1991,roadless,3,0.0
Arizona,1991,roadless,4,0.0
Arizona,1991,roadless,5,0.0
Arizona,1991,roadless,6,0.0
Arizona,1991,wilderness,0,0.0
Arizona,1991,wilderness,1,0.0
Arizona,1991,wilderness,2,0.0
Arizona,1991,wilderness,3,0.0
Arizona,1991,wilderness,4,0.0
Arizona,1991,wilderness,5,0.0
Arizona,1991,wilderness,6,0.0
Arizona,1992,roaded,0,0.0
Arizona,1992,roaded,1,2.0736000000000003
Arizona,1992,roaded,2,4.7142
Arizona,1992,roaded,3,0.2601
Arizona,1992,roaded,4,0.0
Arizona,1992,roaded,5,0.40590000000000004
Arizona,1992,roaded,6,0.0
Arizona,1992,roadless,0,0.0
Arizona,1992,roadless,1,0.0
Arizona,1992,roadless,2,0.0
Arizona,1992,roadless,3,0.0
Arizona,1992,roadless,4,0.0
Arizona,1992,roadless,5,0.0
Arizona,1992,roadless,6,0.0
Arizona,1992,wilderness,0,0.0
Arizona,1992,wilderness,1,0.008100000000000001
Arizona,1992,wilderness,2,0.008100000000000001
Arizona,1992,wilderness,3,0.0225
Arizona,1992,wilderness,4,0.0333
Arizona,1992,wilderness,5,0.0
Arizona,1992,wilderness,6,0.0
Arizona,1993,roaded,0,0.0
Arizona,1993,roaded,1,1.58463
Arizona,1993,roaded,2,1.099557
Arizona,1993,roaded,3,1.016316
Arizona,1993,roaded,4,0.5035769999999999
Arizona,1993,roaded,5,0.0054
Arizona,1993,roaded,6,0.0
Arizona,1993,roadless,0,0.0
Arizona,1993,roadless,1,0.054000000000000006
Arizona,1993,roadless,2,0.0342
Arizona,1993,roadless,3,0.081
Arizona,1993,roadless,4,0.5715
Arizona,1993,roadless,5,0.0
Arizona,1993,roadless,6,0.0
Arizona,1993,wilderness,0,0.0
Arizona,1993,wilderness,1,1.2755159999999999
Arizona,1993,wilderness,2,0.8036279999999999
Arizona,1993,wilderness,3,1.4940539999999998
Arizona,1993,wilderness,4,1.5594209999999997
Arizona,1993,wilderness,5,0.009899999999999999
Arizona,1993,wilderness,6,0.0
Arizona,1994,roaded,0,0.0
Arizona,1994,roaded,1,15.662654999999999
Arizona,1994,roaded,2,17.786853
Arizona,1994,roaded,3,10.882746
Arizona,1994,roaded,4,9.188721
Arizona,1994,roaded,5,0.0666
Arizona,1994,roaded,6,0.0
Arizona,1994,roadless,0,0.0009
Arizona,1994,roadless,1,2.164266
Arizona,1994,roadless,2,2.853657
Arizona,1994,roadless,3,4.661496
Arizona,1994,roadless,4,2.1603869999999996
Arizona,1994,roadless,5,0.0027
Arizona,1994,roadless,6,0.0
Arizona,1994,wilderness,0,0.0
Arizona,1994,wilderness,1,18.606357
Arizona,1994,wilderness,2,41.292324
Arizona,1994,wilderness,3,39.422655
Arizona,1994,wilderness,4,25.595532
Arizona,1994,wilderness,5,0.04769999999999999
Arizona,1994,wilderness,6,2.6559
Arizona,1995,roaded,0,0.0
Arizona,1995,roaded,1,30.941972999999997
Arizona,1995,roaded,2,58.268673
Arizona,1995,roaded,3,17.224434
Arizona,1995,roaded,4,3.394692
Arizona,1995,roaded,5,0.320976
Arizona,1995,roaded,6,0.0
Arizona,1995,roadless,0,0.0009
Arizona,1995,roadless,1,1.535157
Arizona,1995,roadless,2,1.869003
Arizona,1995,roadless,3,0.710514
Arizona,1995,roadless,4,0.623493
Arizona,1995,roadless,5,0.0009
Arizona,1995,roadless,6,0.0
Arizona,1995,wilderness,0,0.0
Arizona,1995,wilderness,1,1.111329
Arizona,1995,wilderness,2,2.958687
Arizona,1995,wilderness,3,8.118773999999998
Arizona,1995,wilderness,4,1.216215
Arizona,1995,wilderness,5,0.009899999999999999
Arizona,1995,wilderness,6,0.0
Arizona,1996,roaded,0,0.0
Arizona,1996,roaded,1,83.73395699999999
Arizona,1996,roaded,2,78.03519299999999
Arizona,1996,roaded,3,86.97704399999999
Arizona,1996,roaded,4,49.474016999999996
Arizona,1996,roaded,5,0.1359
Arizona,1996,roaded,6,0.0
Arizona,1996,roadless,0,0.0
Arizona,1996,roadless,1,2.8584449999999997
Arizona,1996,roadless,2,5.385689999999999
Arizona,1996,roadless,3,5.703165
Arizona,1996,roadless,4,2.151063
Arizona,1996,roadless,5,0.0054
Arizona,1996,roadless,6,0.0
Arizona,1996,wilderness,0,0.0
Arizona,1996,wilderness,1,2.724192
Arizona,1996,wilderness,2,6.41601
Arizona,1996,wilderness,3,25.563203999999995
Arizona,1996,wilderness,4,15.374763
Arizona,1996,wilderness,5,0.0009
Arizona,1996,wilderness,6,0.0
Arizona,1997,roaded,0,0.0
Arizona,1997,roaded,1,0.016308
Arizona,1997,roaded,2,0.033579
Arizona,1997,roaded,3,0.035136
Arizona,1997,roaded,4,0.003276
Arizona,1997,roaded,5,0.0
Arizona,1997,roaded,6,0.0
Arizona,1997,roadless,0,0.0
Arizona,1997,roadless,1,0.085392
Arizona,1997,roadless,2,0.8565209999999999
Arizona,1997,roadless,3,0.934164
Arizona,1997,roadless,4,0.35492399999999996
Arizona,1997,roadless,5,0.0
Arizona,1997,roadless,6,0.0
Arizona,1997,wilderness,0,0.0
Arizona,1997,wilderness,1,0.0
Arizona,1997,wilderness,2,0.0
Arizona,1997,wilderness,3,0.0
Arizona,1997,wilderness,4,0.0
Arizona,1997,wilderness,5,0.0
Arizona,1997,wilderness,6,0.0
Arizona,1998,roaded,0,0.0
Arizona,1998,roaded,1,0.033588
Arizona,1998,roaded,2,0.002277
Arizona,1998,roaded,3,0.0
Arizona,1998,roaded,4,0.0
Arizona,1998,roaded,5,0.0
Arizona,1998,roaded,6,0.0
Arizona,1998,roadless,0,0.0009
Arizona,1998,roadless,1,0.0
Arizona,1998,roadless,2,0.0
Arizona,1998,roadless,3,0.0
Arizona,1998,roadless,4,0.0
Arizona,1998,roadless,5,0.0
Arizona,1998,roadless,6,0.0
Arizona,1998,wilderness,0,0.0
Arizona,1998,wilderness,1,0.0432
Arizona,1998,wilderness,2,0.095112
Arizona,1998,wilderness,3,0.0666
Arizona,1998,wilderness,4,0.0
Arizona,1998,wilderness,5,0.0
Arizona,1998,wilderness,6,0.0
Arizona,1999,roaded,0,0.0
Arizona,1999,roaded,1,9.744012
Arizona,1999,roaded,2,19.988864999999997
