State,Access Class,Forest Area (ha),Unburned to Low,Low,Moderate,High,All Severity,"Low, Moderate, or High",Moderate or High
Arizona,Developed,"1,943,897",11.5%,23.1%,9.3%,5.1%,49.0%,37.5%,14.4%
Arizona,IRA,"220,617",13.5%,27.3%,16.0%,6.6%,63.4%,49.9%,22.5%
Arizona,Wilderness,"241,322",11.1%,29.2%,25.3%,10.1%,75.6%,64.6%,35.4%
California,Developed,"4,301,027",6.7%,17.1%,15.2%,15.4%,54.4%,47.7%,30.7%
California,IRA,"887,139",11.7%,24.9%,22.7%,20.1%,79.4%,67.7%,42.8%
California,Wilderness,"1,120,003",16.8%,29.4%,22.3%,19.8%,88.4%,71.6%,42.2%
Colorado,Developed,"2,314,039",1.8%,3.0%,2.9%,3.0%,10.7%,8.9%,5.9%
Colorado,IRA,"1,285,555",1.6%,3.1%,3.7%,3.3%,11.7%,10.1%,7.0%
Colorado,Wilderness,"777,926",1.3%,2.6%,3.6%,3.8%,11.3%,10.0%,7.4%
Idaho,Developed,"2,520,875",4.0%,6.1%,4.9%,4.6%,19.5%,15.5%,9.5%
Idaho,IRA,"2,510,474",6.4%,9.0%,8.2%,9.4%,32.9%,26.6%,17.6%
Idaho,Wilderness,"1,275,406",21.0%,23.6%,18.6%,20.1%,83.3%,62.3%,38.7%
Montana,Developed,"3,150,398",2.9%,5.0%,4.9%,4.4%,17.1%,14.2%,9.3%
Montana,IRA,"2,093,335",3.2%,5.4%,5.7%,8.5%,22.8%,19.6%,14.2%
Montana,Wilderness,"986,647",6.1%,8.2%,8.9%,14.7%,37.9%,31.8%,23.5%
Nevada,Developed,"296,190",0.9%,1.8%,2.8%,1.7%,7.3%,6.3%,4.6%
Nevada,IRA,"518,082",0.6%,1.2%,1.8%,0.9%,4.5%,4.0%,2.7%
Nevada,Wilderness,"274,545",1.0%,3.0%,3.3%,1.6%,9.0%,7.9%,4.9%
New Mexico,Developed,"2,042,611",7.0%,12.6%,4.1%,2.5%,26.1%,19.1%,6.5%
New Mexico,IRA,"442,789",12.1%,22.3%,7.7%,4.1%,46.2%,34.1%,11.8%
New Mexico,Wilderness,"516,944",35.9%,51.7%,19.3%,9.8%,116.6%,80.7%,29.1%
Oregon,Developed,"4,500,612",3.7%,7.9%,5.2%,5.5%,22.3%,18.6%,10.7%
Oregon,IRA,"602,493",10.3%,17.2%,13.4%,15.7%,56.5%,46.3%,29.1%
Oregon,Wilderness,"759,240",10.3%,17.0%,13.5%,15.7%,56.5%,46.2%,29.2%
Utah,Developed,"1,112,871",1.9%,3.0%,3.0%,2.3%,10.2%,8.3%,5.3%
Utah,IRA,"1,158,478",2.9%,4.5%,5.4%,4.7%,17.6%,14.7%,10.2%
Utah,Wilderness,"186,697",4.0%,6.1%,6.2%,5.2%,21.5%,17.5%,11.4%
Washington,Developed,"2,031,502",3.2%,5.7%,4.1%,3.9%,16.8%,13.6%,7.9%
Washington,IRA,"670,393",4.4%,8.7%,8.6%,10.0%,31.7%,27.3%,18.6%
Washington,Wilderness,"829,001",3.2%,6.7%,6.5%,10.5%,26.9%,23.7%,16.9%
Wyoming,Developed,"741,268",2.6%,5.1%,4.9%,4.1%,16.7%,14.1%,9.0%
Wyoming,IRA,"819,789",2.0%,2.8%,2.9%,2.9%,10.6%,8.6%,5.8%
Wyoming,Wilderness,"609,502",5.4%,6.9%,6.5%,8.3%,27.2%,21.8%,14.9%
ALL,Developed,"24,955,289",4.7%,9.5%,6.6%,6.1%,26.9%,22.2%,12.8%
ALL,IRA,"11,209,145",5.2%,8.9%,7.8%,8.1%,30.1%,24.9%,16.0%
ALL,Wilderness,"7,577,234",11.7%,17.4%,12.9%,13.2%,55.2%,43.5%,26.1%
